NameMonthYear,Year,Month_Year,Account_ID,Account_Type,Package,Customer_Demographics_Income,Customer_Demographics_Marital_Status,Customer_Demographics_Education,Number_of_Deposits_Credits,Number_of_Debits,Bill_Payments,Cash_Withdrawals,Point_of_sale_Transactions,Total_Value_of_Debits,Deposits_Made_During_The_Month_Credits,Total_Service_Charges,Total_Balance_at_Month_End,Number_of_Transactions
August-2023,2023,2023-08-09,918,Savings,Silver,Low Income,Divorced,High School Graduate,776,770,$84.00,1795.01,$789.00,"$24,479.81","$37,389.57",$63.43,965.03,943
August-2023,2023,2023-08-09,573,Chequing,Silver,Medium Income,Divorced,High School Graduate,179,622,$494.00,2122.45,$474.00,"$14,160.08","$19,530.73",$134.14,2638.41,406
August-2023,2023,2023-08-09,21,Chequing,Gold,Low Income,Married,Some College,791,245,$700.00,1468.72,$299.00,"$29,560.74","$38,375.72",$105.57,7767.01,126
August-2023,2023,2023-08-09,187,Savings,Bronze,Medium Income,Married,Master's Degree,876,8,$498.00,480.68,$584.00,"$38,087.75","$28,354.78",$7.87,1893.54,115
August-2023,2023,2023-08-09,502,Savings,Bronze,Low Income,Divorced,Master's Degree,799,545,$666.00,1084.66,$540.00,"$29,198.21","$21,698.27",$6.71,7734.52,703
August-2023,2023,2023-08-09,449,Chequing,Silver,Medium Income,Single,College Degree,634,835,$279.00,1134.87,$887.00,"$2,919.91","$3,692.83",$15.74,6152.19,337
August-2023,2023,2023-08-10,512,Chequing,Gold,Medium Income,Single,High School Graduate,741,269,$815.00,2712.55,$473.00,"$24,941.26","$22,455.72",$29.51,8006.79,145
August-2023,2023,2023-08-10,48,Chequing,Silver,Low Income,Divorced,College Degree,558,160,$128.00,1725.41,$451.00,"$3,277.24","$33,941.66",$125.14,9943.5,546
August-2023,2023,2023-08-10,916,Chequing,Gold,Low Income,Married,Some College,169,823,$504.00,144.12,$728.00,"$11,415.86","$27,984.96",$107.95,1268.32,846
August-2023,2023,2023-08-11,833,Savings,Gold,Medium Income,Divorced,High School Graduate,180,689,$382.00,283.87,$461.00,"$2,792.97","$6,833.61",$14.33,1786.72,234
August-2023,2023,2023-08-11,41,Savings,Bronze,Low Income,Married,High School Graduate,260,215,$298.00,2381.5,$514.00,"$18,208.06","$34,213.05",$116.65,7073.69,993
August-2023,2023,2023-08-11,3,Chequing,Silver,High Income,Married,Master's Degree,287,668,$863.00,2468.6,$448.00,"$16,859.64","$44,580.04",$67.56,2908.74,179
August-2023,2023,2023-08-12,665,Savings,Gold,High Income,Divorced,Master's Degree,472,997,$778.00,1862.45,$309.00,"$25,585.82","$24,800.92",$41.99,354.67,170
August-2023,2023,2023-08-12,989,Chequing,Silver,Low Income,Single,Some College,570,517,$503.00,2240.75,$396.00,"$19,286.42","$48,313.57",$38.98,7608.26,213
August-2023,2023,2023-08-13,697,Savings,Silver,Low Income,Married,College Degree,992,757,$970.00,2087.58,$928.00,"$38,638.19","$26,860.14",$36.51,3747.08,571
August-2023,2023,2023-08-13,398,Chequing,Bronze,Medium Income,Divorced,High School Graduate,680,40,$897.00,2009.51,$988.00,"$23,153.55",$184.59,$17.19,9276.2,528
August-2023,2023,2023-08-13,296,Chequing,Silver,High Income,Single,Some College,555,17,$139.00,1348.69,$729.00,"$6,801.85","$37,110.96",$126.77,7057.53,811
August-2023,2023,2023-08-14,344,Savings,Gold,High Income,Married,Master's Degree,536,638,$763.00,1199.33,$741.00,"$19,263.16","$19,742.13",$131.68,2908.72,258
August-2023,2023,2023-08-14,340,Chequing,Gold,Low Income,Divorced,Some College,826,945,$370.00,2020.85,$722.00,"$41,905.03","$46,627.47",$133.64,491.21,986
August-2023,2023,2023-08-14,139,Savings,Bronze,Low Income,Divorced,Master's Degree,799,660,$265.00,2390.62,$463.00,"$32,659.65","$49,883.74",$8.20,583.24,109
August-2023,2023,2023-08-14,200,Chequing,Gold,Low Income,Married,Master's Degree,774,2,$862.00,192.96,$442.00,"$27,574.48","$48,077.48",$103.63,9384.58,237
August-2023,2023,2023-08-14,928,Chequing,Gold,Low Income,Divorced,Some College,393,482,$8.00,1884.14,$75.00,"$45,932.21","$44,457.74",$13.27,2128.49,603
August-2023,2023,2023-08-15,988,Chequing,Bronze,High Income,Divorced,College Degree,274,512,$170.00,2509.48,$937.00,"$9,527.47","$26,480.88",$35.99,5812,94
August-2023,2023,2023-08-15,734,Chequing,Silver,Low Income,Married,Some College,796,654,$719.00,2995.98,$420.00,"$47,714.64","$31,936.64",$5.54,3636.02,294
August-2023,2023,2023-08-15,42,Chequing,Gold,Low Income,Single,Master's Degree,874,169,$587.00,1537.19,$245.00,"$38,240.39","$48,092.13",$102.46,8937.51,428
August-2023,2023,2023-08-16,382,Chequing,Bronze,High Income,Married,Master's Degree,91,413,$116.00,330,$777.00,"$33,442.55","$39,993.34",$135.05,8073.86,612
August-2023,2023,2023-08-16,601,Savings,Gold,High Income,Married,Some College,572,140,$289.00,2841.97,$626.00,"$24,725.16","$21,060.62",$86.98,5842.24,502
August-2023,2023,2023-08-17,541,Savings,Bronze,Low Income,Single,High School Graduate,569,113,$228.00,1018.64,$252.00,"$15,367.97",$758.17,$69.67,7549.46,818
August-2023,2023,2023-08-19,549,Chequing,Gold,Low Income,Divorced,College Degree,339,820,$118.00,2311.21,$610.00,"$42,370.22","$9,245.57",$131.96,2664.67,988
August-2023,2023,2023-08-19,805,Chequing,Gold,Medium Income,Divorced,College Degree,725,861,$801.00,1517.13,$117.00,"$33,768.54","$5,583.26",$32.23,8822.09,181
August-2023,2023,2023-08-20,303,Chequing,Gold,High Income,Married,Some College,45,161,$970.00,698.05,$161.00,"$16,535.30","$40,893.65",$58.47,8369.57,959
August-2023,2023,2023-08-20,182,Chequing,Gold,High Income,Divorced,Some College,479,765,$667.00,2128.8,$457.00,"$44,157.54","$45,152.91",$137.97,4336.31,763
August-2023,2023,2023-08-21,10,Savings,Silver,High Income,Divorced,Some College,919,932,$386.00,1998.59,$592.00,"$29,896.72",$315.32,$142.19,8819.37,765
August-2023,2023,2023-08-21,116,Chequing,Bronze,Medium Income,Single,Master's Degree,560,420,$23.00,2758.85,$569.00,"$47,656.60","$33,602.72",$49.60,1089.37,589
August-2023,2023,2023-08-21,431,Chequing,Bronze,High Income,Divorced,Some College,503,215,$446.00,445.97,$84.00,"$37,888.56","$7,062.78",$82.72,1859.46,6
August-2023,2023,2023-08-21,841,Savings,Bronze,Low Income,Divorced,Some College,407,762,$554.00,1770.29,$633.00,"$40,415.04","$22,641.14",$75.29,5113.33,749
August-2023,2023,2023-08-22,578,Chequing,Silver,Medium Income,Divorced,College Degree,740,524,$546.00,2436.89,$930.00,"$4,151.19","$32,554.70",$59.62,6765.19,1000
August-2023,2023,2023-08-23,597,Savings,Gold,High Income,Single,College Degree,854,13,$68.00,621.88,$429.00,"$46,106.78","$34,019.53",$102.42,3563.21,907
August-2023,2023,2023-08-23,844,Chequing,Bronze,Low Income,Single,College Degree,337,398,$903.00,2034.31,$621.00,"$40,293.19","$13,617.43",$48.15,6510.11,243
August-2023,2023,2023-08-23,545,Chequing,Gold,High Income,Married,College Degree,889,376,$842.00,1645.04,$418.00,"$22,885.19","$24,877.89",$49.97,3711.06,781
August-2023,2023,2023-08-24,383,Savings,Gold,High Income,Single,Master's Degree,47,72,$103.00,275.14,$470.00,"$11,839.28","$29,982.44",$59.04,9097.93,750
August-2023,2023,2023-08-24,354,Chequing,Bronze,Low Income,Single,Master's Degree,723,513,$80.00,2961.21,$328.00,"$37,018.28","$33,622.27",$13.98,2889.1,567
August-2023,2023,2023-08-24,134,Savings,Gold,High Income,Single,Master's Degree,72,183,$768.00,2308.99,$550.00,"$47,990.49","$45,698.70",$132.06,960.4,335
August-2023,2023,2023-08-24,257,Chequing,Bronze,Low Income,Single,High School Graduate,10,482,$564.00,2155.47,$739.00,"$43,372.23","$20,301.82",$65.29,663.71,298
August-2023,2023,2023-08-24,973,Savings,Silver,High Income,Single,Master's Degree,876,356,$781.00,625.17,$738.00,"$45,755.28","$30,455.05",$101.43,1803.94,883
August-2023,2023,2023-08-24,892,Chequing,Silver,Medium Income,Divorced,Master's Degree,76,884,$759.00,1287.41,$886.00,"$35,062.29","$25,466.83",$115.09,4627.72,497
August-2023,2023,2023-08-25,788,Savings,Bronze,Medium Income,Single,High School Graduate,688,316,$701.00,782.19,$287.00,"$6,353.12","$13,889.95",$136.98,206.07,301
August-2023,2023,2023-08-25,642,Chequing,Gold,High Income,Married,High School Graduate,657,766,$830.00,1416.99,$708.00,"$36,089.85","$5,563.79",$61.92,4927.77,210
August-2023,2023,2023-08-25,691,Savings,Gold,Medium Income,Divorced,High School Graduate,174,185,$311.00,394.88,$835.00,"$8,765.59","$40,251.32",$23.49,3513.25,817
August-2023,2023,2023-08-25,196,Chequing,Silver,High Income,Divorced,High School Graduate,675,215,$441.00,674.2,$465.00,"$43,736.73","$29,249.28",$30.90,4341.88,86
August-2023,2023,2023-08-25,129,Savings,Gold,High Income,Married,Some College,92,819,$445.00,2764.99,$850.00,"$3,595.09","$30,621.67",$149.98,7007.06,770
August-2023,2023,2023-08-25,17,Chequing,Bronze,Medium Income,Single,Master's Degree,744,143,$484.00,455.2,$291.00,"$20,801.27","$8,038.30",$122.76,9166.29,799
August-2023,2023,2023-08-26,108,Chequing,Silver,Medium Income,Single,High School Graduate,922,246,$412.00,1884.56,$540.00,"$34,665.06","$1,933.74",$100.72,9658.88,134
August-2023,2023,2023-08-26,77,Chequing,Silver,Medium Income,Divorced,College Degree,143,883,$49.00,1328.88,$867.00,"$5,619.20","$30,252.31",$33.31,9285.89,702
August-2023,2023,2023-08-26,286,Chequing,Bronze,High Income,Divorced,College Degree,215,523,$882.00,349.81,$33.00,"$37,719.21","$33,836.19",$19.13,9081.27,291
August-2023,2023,2023-08-26,608,Savings,Gold,Low Income,Married,High School Graduate,6,559,$786.00,283.26,$501.00,"$11,116.27","$16,738.86",$123.80,6693.72,93
August-2023,2023,2023-08-27,911,Chequing,Silver,Medium Income,Single,Some College,903,582,$586.00,1669.31,$777.00,"$35,927.86","$26,550.82",$117.58,6205.48,105
August-2023,2023,2023-08-28,346,Chequing,Gold,Low Income,Single,High School Graduate,433,251,$87.00,2853.75,$301.00,"$25,129.91","$41,808.30",$125.58,6389.82,331
August-2023,2023,2023-08-29,297,Chequing,Bronze,High Income,Married,Master's Degree,329,76,$295.00,2106.2,$606.00,"$33,857.85","$25,330.91",$53.53,3357.62,649
August-2023,2023,2023-08-29,968,Savings,Bronze,Low Income,Married,High School Graduate,336,727,$402.00,700.39,$505.00,"$27,052.71","$38,684.28",$89.80,6825.03,206
August-2023,2023,2023-08-30,998,Savings,Bronze,High Income,Divorced,Master's Degree,53,463,$806.00,1784.41,$243.00,"$45,299.85","$49,882.95",$106.41,9437.66,388
August-2023,2023,2023-08-30,291,Savings,Gold,High Income,Married,Some College,577,330,$55.00,2759.01,$950.00,"$4,643.64","$12,254.07",$72.85,8143,582
August-2023,2023,2023-08-30,347,Savings,Bronze,Low Income,Single,College Degree,856,140,$701.00,2628.35,$326.00,"$32,666.66","$45,959.21",$6.55,1212.54,783
August-2023,2023,2023-08-30,63,Savings,Bronze,Medium Income,Single,Some College,575,322,$75.00,249.64,$467.00,$433.15,"$14,719.24",$84.95,6672.46,679
August-2023,2023,2023-08-31,78,Savings,Silver,High Income,Married,High School Graduate,846,331,$522.00,1993.46,$548.00,"$7,431.00","$8,526.89",$7.86,1153.12,317
August-2023,2023,2023-08-31,434,Savings,Gold,High Income,Single,College Degree,18,779,$893.00,1404,$270.00,"$28,096.78","$48,441.49",$99.89,1104.75,574
September-2023,2023,2023-09-01,348,Savings,Gold,High Income,Single,Master's Degree,341,489,$929.00,675.49,$886.00,"$29,058.89","$49,957.82",$54.28,2754.82,802
September-2023,2023,2023-09-01,566,Chequing,Bronze,Low Income,Married,Some College,335,992,$144.00,1072.72,$416.00,"$8,037.58","$39,901.98",$59.66,7464.33,865
September-2023,2023,2023-09-01,719,Chequing,Gold,High Income,Married,Master's Degree,840,653,$619.00,2949.11,$701.00,"$32,550.71","$11,965.66",$141.43,863.13,67
September-2023,2023,2023-09-02,847,Chequing,Silver,Low Income,Divorced,Some College,477,279,$20.00,1392.35,$820.00,"$19,287.48","$25,681.03",$69.01,8303.4,39
September-2023,2023,2023-09-02,617,Chequing,Bronze,Medium Income,Divorced,College Degree,874,2,$41.00,1892.33,$438.00,"$17,684.96","$5,735.69",$46.13,9029.92,931
September-2023,2023,2023-09-02,467,Savings,Bronze,Low Income,Divorced,Some College,643,998,$422.00,2692.31,$917.00,"$18,429.06","$11,311.23",$106.95,5053.78,57
September-2023,2023,2023-09-02,259,Savings,Bronze,High Income,Married,High School Graduate,405,4,$964.00,765.67,$549.00,$397.55,"$25,640.10",$47.98,3065.22,393
September-2023,2023,2023-09-02,215,Savings,Gold,Low Income,Married,Some College,546,603,"$1,000.00",2248.16,$289.00,"$49,876.86","$12,960.29",$54.31,4980.38,255
September-2023,2023,2023-09-03,6,Savings,Bronze,Low Income,Divorced,College Degree,708,773,$788.00,1639.71,$528.00,"$10,870.39","$21,741.94",$117.70,4148.46,120
September-2023,2023,2023-09-03,323,Chequing,Bronze,High Income,Divorced,Some College,494,635,$200.00,325.27,$651.00,"$1,737.66","$44,266.48",$45.90,442.15,305
September-2023,2023,2023-09-03,854,Savings,Silver,Low Income,Divorced,High School Graduate,83,908,$822.00,1018.03,$498.00,"$43,635.69","$10,457.97",$17.20,4521.68,656
September-2023,2023,2023-09-03,865,Chequing,Bronze,Low Income,Married,Some College,755,948,$605.00,402.4,$674.00,"$22,880.67","$6,242.61",$16.94,5426.37,839
September-2023,2023,2023-09-03,863,Savings,Silver,High Income,Divorced,Master's Degree,671,621,$854.00,1661.34,$236.00,"$4,612.12","$22,416.49",$81.07,7480.08,711
September-2023,2023,2023-09-04,962,Savings,Silver,Medium Income,Single,Master's Degree,909,851,$796.00,270.01,$328.00,"$9,215.93","$27,069.21",$75.91,7702.99,857
September-2023,2023,2023-09-04,787,Chequing,Bronze,Medium Income,Single,College Degree,64,668,$109.00,1280.42,$886.00,"$12,470.91","$2,005.66",$93.12,4489.57,142
September-2023,2023,2023-09-04,5,Savings,Bronze,High Income,Single,College Degree,303,282,$781.00,664.81,$895.00,"$42,336.13","$13,739.26",$6.72,4111.01,847
September-2023,2023,2023-09-04,115,Savings,Bronze,High Income,Single,High School Graduate,535,347,$475.00,336.89,$436.00,"$29,681.92","$38,175.61",$79.43,9401.19,75
September-2023,2023,2023-09-04,247,Savings,Bronze,Medium Income,Married,Master's Degree,724,664,$653.00,2719.71,$640.00,"$42,277.76","$40,141.24",$131.20,7434.95,495
September-2023,2023,2023-09-05,210,Chequing,Gold,Medium Income,Divorced,College Degree,440,335,$27.00,415,$782.00,"$39,849.05","$39,716.69",$132.86,7806.46,661
September-2023,2023,2023-09-05,952,Chequing,Silver,Medium Income,Married,Some College,216,29,$985.00,833.67,$400.00,"$30,777.62","$10,757.62",$63.17,7316.74,998
September-2023,2023,2023-09-06,994,Savings,Silver,High Income,Married,College Degree,208,193,$508.00,1159.85,$809.00,"$43,820.77","$6,539.18",$65.00,3112.11,642
September-2023,2023,2023-09-06,780,Savings,Silver,Low Income,Divorced,Some College,64,478,$660.00,1076.11,$887.00,"$19,524.42","$42,095.23",$74.60,9297.67,626
September-2023,2023,2023-09-06,334,Chequing,Bronze,Low Income,Divorced,College Degree,75,942,$458.00,2712.4,$368.00,"$9,789.84","$49,466.28",$49.71,5168.79,88
September-2023,2023,2023-09-06,473,Chequing,Gold,Medium Income,Married,Master's Degree,384,68,$120.00,2938.95,$211.00,"$43,769.50","$49,965.43",$112.85,6132.7,136
September-2023,2023,2023-09-07,491,Chequing,Bronze,Low Income,Divorced,Master's Degree,512,791,$441.00,1260.36,$393.00,"$27,671.00","$24,787.75",$51.61,3261.16,137
September-2023,2023,2023-09-08,304,Chequing,Silver,Medium Income,Single,Some College,496,306,$324.00,374.26,$944.00,"$2,618.07","$43,576.70",$113.91,7542.48,109
September-2023,2023,2023-09-08,731,Savings,Bronze,Low Income,Divorced,Master's Degree,64,818,$961.00,609.11,$360.00,"$42,619.73","$11,570.93",$67.89,5051.07,638
September-2023,2023,2023-09-08,644,Chequing,Bronze,High Income,Married,Master's Degree,159,116,$143.00,1966.32,$87.00,"$45,707.62","$29,516.10",$149.14,3105.95,525
September-2023,2023,2023-09-08,947,Chequing,Gold,High Income,Single,Master's Degree,589,457,$109.00,1688.39,$917.00,"$38,437.42","$33,026.56",$65.95,3311.56,773
September-2023,2023,2023-09-09,615,Savings,Silver,High Income,Divorced,College Degree,30,922,$968.00,377.71,$726.00,"$3,280.36","$30,180.02",$21.92,3849.97,832
September-2023,2023,2023-09-09,785,Savings,Gold,Low Income,Married,High School Graduate,140,595,$998.00,1431.96,$998.00,"$33,560.63","$9,993.65",$141.01,3376.02,653
September-2023,2023,2023-09-09,490,Savings,Bronze,Low Income,Divorced,Some College,846,431,$616.00,2288.11,$380.00,"$33,045.03","$46,279.78",$94.77,945.24,43
September-2023,2023,2023-09-09,11,Chequing,Bronze,High Income,Divorced,Master's Degree,491,383,$626.00,1186.45,$937.00,"$30,959.85","$28,483.51",$61.52,6940.73,120
September-2023,2023,2023-09-10,102,Savings,Bronze,Low Income,Married,High School Graduate,248,133,$921.00,1925.82,$966.00,"$23,197.30","$43,816.44",$81.86,1415.21,331
September-2023,2023,2023-09-10,206,Savings,Silver,High Income,Divorced,College Degree,98,172,$411.00,2355.71,$788.00,"$40,840.77","$19,023.06",$7.09,6298.44,855
September-2023,2023,2023-09-10,552,Chequing,Silver,High Income,Married,High School Graduate,52,501,$611.00,2461.54,$630.00,"$27,296.78","$32,697.63",$139.55,6847.78,239
September-2023,2023,2023-09-10,563,Chequing,Gold,High Income,Married,High School Graduate,996,852,$813.00,1127.39,$18.00,"$7,278.60","$3,801.04",$28.85,973.73,558
September-2023,2023,2023-09-10,579,Chequing,Gold,High Income,Divorced,Master's Degree,24,218,$501.00,1323.32,$192.00,"$33,898.85","$16,487.91",$109.37,8128.91,134
September-2023,2023,2023-09-10,666,Chequing,Silver,High Income,Divorced,Some College,750,391,$534.00,385.98,$968.00,"$48,461.93","$10,668.33",$109.92,1454.37,818
September-2023,2023,2023-09-11,775,Chequing,Bronze,High Income,Married,Some College,498,360,$167.00,2253.66,$371.00,"$7,771.82","$29,306.35",$146.67,5166.17,647
September-2023,2023,2023-09-11,737,Chequing,Bronze,Medium Income,Married,High School Graduate,801,256,$140.00,2610.22,$942.00,"$33,216.59","$29,444.94",$113.21,7929.44,240
September-2023,2023,2023-09-11,960,Savings,Silver,Low Income,Single,High School Graduate,824,414,$818.00,1506.12,$479.00,"$18,784.07","$8,145.28",$79.63,7080.12,929
September-2023,2023,2023-09-11,536,Chequing,Bronze,Low Income,Divorced,College Degree,103,551,$953.00,1569.93,$534.00,"$33,348.72","$25,249.13",$108.37,3187.35,914
September-2023,2023,2023-09-11,89,Chequing,Gold,Low Income,Divorced,Master's Degree,279,895,$637.00,2258.47,$665.00,"$17,550.05","$48,133.38",$80.39,8782.9,134
September-2023,2023,2023-09-11,1,Chequing,Gold,Medium Income,Single,Master's Degree,441,78,$828.00,2492.82,$90.00,"$16,276.27","$41,349.63",$16.47,9781.18,157
September-2023,2023,2023-09-12,60,Chequing,Bronze,High Income,Divorced,Some College,584,12,$622.00,2129.82,$202.00,"$39,848.73","$33,097.79",$12.81,2318.68,373
September-2023,2023,2023-09-12,521,Savings,Gold,Low Income,Divorced,High School Graduate,524,46,$309.00,2228.8,$77.00,"$34,403.02","$28,043.14",$114.46,2738.67,759
September-2023,2023,2023-09-12,535,Savings,Bronze,Medium Income,Divorced,High School Graduate,741,474,$249.00,1647.41,$109.00,"$11,218.71","$48,831.03",$97.20,8139.19,839
September-2023,2023,2023-09-12,364,Chequing,Bronze,High Income,Divorced,College Degree,471,951,$105.00,2370.28,$253.00,"$32,193.86","$36,732.32",$62.57,3560.41,962
September-2023,2023,2023-09-12,748,Savings,Silver,High Income,Single,Master's Degree,130,589,$929.00,734.31,$371.00,"$35,884.72","$27,845.90",$34.77,320.77,722
September-2023,2023,2023-09-13,885,Chequing,Gold,High Income,Married,Master's Degree,787,836,$355.00,2084.57,$739.00,"$22,594.65","$32,776.09",$27.89,7173.51,579
September-2023,2023,2023-09-13,407,Savings,Bronze,Low Income,Married,Some College,635,740,$379.00,2422.41,$35.00,"$4,676.73","$42,409.14",$85.58,6949.12,9
September-2023,2023,2023-09-14,66,Savings,Gold,High Income,Single,Master's Degree,725,541,$344.00,2557.47,$515.00,"$41,287.11","$29,876.67",$73.25,3184.5,655
September-2023,2023,2023-09-14,845,Chequing,Gold,High Income,Single,High School Graduate,282,236,$419.00,2889.21,$492.00,"$19,999.94","$3,292.93",$17.93,4947.78,665
September-2023,2023,2023-09-14,690,Chequing,Bronze,Low Income,Single,College Degree,448,13,$864.00,777.47,$736.00,"$6,176.10","$30,044.29",$56.65,2559.69,421
September-2023,2023,2023-09-15,142,Savings,Bronze,High Income,Single,Some College,993,361,$340.00,1749.73,$261.00,$528.11,"$5,654.73",$32.84,9191.64,25
September-2023,2023,2023-09-16,419,Chequing,Silver,Medium Income,Married,College Degree,435,727,$981.00,1659.66,$307.00,"$18,495.73","$33,663.21",$73.41,1746.32,282
September-2023,2023,2023-09-16,371,Chequing,Silver,High Income,Divorced,Master's Degree,507,267,$82.00,1499.24,$330.00,"$47,247.57","$5,263.15",$123.66,5329.77,128
September-2023,2023,2023-09-16,559,Savings,Silver,High Income,Divorced,High School Graduate,199,643,$161.00,1025.87,$322.00,"$36,267.05","$19,443.07",$71.51,9358.17,845
September-2023,2023,2023-09-16,517,Savings,Gold,High Income,Divorced,Some College,818,808,$452.00,2021.34,$782.00,$229.84,"$26,057.20",$147.77,5129.7,985
September-2023,2023,2023-09-16,631,Chequing,Silver,Medium Income,Divorced,Some College,523,780,$697.00,597.5,$267.00,"$1,437.74","$27,801.40",$75.47,1359.98,329
September-2023,2023,2023-09-17,609,Savings,Gold,Low Income,Divorced,Master's Degree,531,976,$618.00,203.88,$121.00,"$39,844.59","$22,574.28",$48.44,571.52,495
September-2023,2023,2023-09-17,783,Chequing,Bronze,High Income,Married,Some College,184,858,$670.00,2407.21,$177.00,"$7,048.18","$25,555.97",$81.11,9458.93,412
September-2023,2023,2023-09-17,766,Chequing,Silver,Medium Income,Divorced,High School Graduate,885,13,$464.00,122.82,$190.00,"$11,348.84","$41,519.74",$34.38,1708.13,723
September-2023,2023,2023-09-17,159,Savings,Gold,Medium Income,Single,College Degree,948,822,$764.00,451.61,$236.00,"$33,180.93","$27,579.84",$84.22,7076.06,283
September-2023,2023,2023-09-18,243,Chequing,Gold,High Income,Single,Master's Degree,925,636,$506.00,2840.31,$811.00,"$47,593.78","$39,950.36",$38.13,9781.88,183
September-2023,2023,2023-09-18,256,Savings,Bronze,High Income,Married,Master's Degree,184,112,$9.00,891.11,$951.00,"$7,666.06","$1,739.43",$14.23,7132.17,429
September-2023,2023,2023-09-18,496,Savings,Silver,High Income,Divorced,Some College,515,978,$794.00,2102.7,$721.00,"$46,700.86","$15,539.75",$122.12,2665.33,588
September-2023,2023,2023-09-20,249,Savings,Silver,Medium Income,Single,Some College,262,890,$552.00,2528.57,$762.00,"$21,476.73","$9,302.56",$69.38,4642.05,473
September-2023,2023,2023-09-20,270,Chequing,Gold,High Income,Divorced,High School Graduate,247,834,$995.00,872.62,$642.00,"$17,536.83","$43,066.95",$7.30,3797.78,778
September-2023,2023,2023-09-20,204,Chequing,Silver,Low Income,Divorced,Some College,698,939,$663.00,2503.34,$560.00,"$3,819.55","$47,798.18",$90.64,6994.75,699
September-2023,2023,2023-09-22,400,Savings,Bronze,Low Income,Single,High School Graduate,164,945,$526.00,659.57,$303.00,"$30,231.08","$31,825.68",$40.09,8249.38,353
September-2023,2023,2023-09-22,914,Savings,Gold,Low Income,Divorced,Some College,100,653,$194.00,1218.51,$751.00,"$10,505.49","$38,901.69",$65.58,4769.39,849
September-2023,2023,2023-09-23,379,Chequing,Gold,High Income,Married,Some College,107,290,$952.00,149.68,$978.00,"$1,337.48","$16,179.35",$8.54,6982.46,265
September-2023,2023,2023-09-23,130,Chequing,Bronze,Low Income,Single,Master's Degree,933,385,$136.00,306.71,$211.00,"$22,646.58",$396.42,$128.46,6903.44,934
September-2023,2023,2023-09-24,57,Chequing,Silver,Medium Income,Married,Some College,918,480,$470.00,1326.49,$925.00,"$8,604.43","$2,641.61",$73.37,4622.75,783
September-2023,2023,2023-09-24,519,Savings,Bronze,Low Income,Single,High School Graduate,388,659,$99.00,2392.57,$290.00,"$11,683.97","$31,231.93",$25.76,1410.46,987
September-2023,2023,2023-09-24,432,Chequing,Bronze,High Income,Divorced,College Degree,560,722,$755.00,1343.35,$430.00,"$25,710.95","$49,259.31",$62.80,9783.29,800
September-2023,2023,2023-09-24,741,Chequing,Silver,Low Income,Single,Some College,122,196,$971.00,2560.43,$1.00,"$31,017.90","$12,296.88",$75.74,9443.82,777
September-2023,2023,2023-09-24,572,Savings,Bronze,Low Income,Divorced,Some College,247,740,$615.00,775.74,$856.00,"$43,043.95","$34,428.72",$83.26,9829.33,691
September-2023,2023,2023-09-25,679,Chequing,Silver,Medium Income,Married,High School Graduate,980,635,$896.00,1530.9,$436.00,"$4,069.12","$35,484.76",$64.77,7879.7,882
September-2023,2023,2023-09-25,420,Savings,Gold,High Income,Single,High School Graduate,253,174,$141.00,2046.18,$654.00,"$36,392.99","$12,996.50",$50.06,2472.52,823
September-2023,2023,2023-09-26,319,Chequing,Gold,Medium Income,Divorced,Master's Degree,949,805,$355.00,199.49,$698.00,"$17,306.43","$5,031.10",$123.96,2044.25,734
September-2023,2023,2023-09-26,163,Savings,Bronze,High Income,Divorced,Master's Degree,279,763,$383.00,300.44,$412.00,"$7,236.62","$32,094.92",$110.71,3554,17
September-2023,2023,2023-09-26,797,Chequing,Silver,Low Income,Married,High School Graduate,311,25,$221.00,182.17,$764.00,"$47,714.22","$21,438.18",$53.15,6503.27,511
September-2023,2023,2023-09-26,902,Savings,Silver,High Income,Divorced,Some College,199,412,$20.00,1476.75,$255.00,"$4,980.74","$41,176.33",$33.63,9127.42,127
September-2023,2023,2023-09-28,756,Chequing,Gold,Low Income,Married,Some College,651,366,$610.00,224.27,$377.00,"$13,096.49","$7,138.26",$12.79,6420.46,494
September-2023,2023,2023-09-28,123,Savings,Bronze,Low Income,Married,College Degree,784,603,$760.00,977.23,$789.00,"$25,194.04","$5,952.05",$69.24,6792.63,604
September-2023,2023,2023-09-29,768,Chequing,Silver,Medium Income,Divorced,Master's Degree,119,769,$702.00,763.33,$204.00,"$27,297.34","$12,220.21",$38.69,9065.18,455
September-2023,2023,2023-09-29,745,Savings,Gold,High Income,Divorced,Some College,166,599,$323.00,207.1,$30.00,"$18,107.62","$34,955.03",$18.54,7946.82,976
September-2023,2023,2023-09-29,958,Savings,Gold,Medium Income,Single,High School Graduate,443,901,$825.00,2851.1,$639.00,"$44,884.94","$20,204.21",$112.17,7528.12,472
September-2023,2023,2023-09-30,852,Savings,Silver,High Income,Single,College Degree,554,939,$184.00,1569.33,$967.00,"$7,388.06","$28,259.62",$135.42,9727.98,248
October-2023,2023,2023-10-01,714,Chequing,Silver,Medium Income,Divorced,Some College,903,444,$990.00,1523.21,$715.00,"$7,976.21","$7,229.40",$41.60,7493.6,321
October-2023,2023,2023-10-03,220,Savings,Gold,Low Income,Single,College Degree,651,598,$498.00,1342.91,$902.00,"$20,447.51","$6,947.28",$42.87,7728.01,311
October-2023,2023,2023-10-03,316,Chequing,Bronze,Medium Income,Married,College Degree,205,60,$558.00,1978.85,$858.00,"$8,586.56","$23,926.45",$14.75,871.41,233
